FID	IID	SEX	AGE
201	185	2	48
202	186	2	37
203	187	1	64
204	188	2	60
205	189	1	24
206	190	2	62
207	191	1	51
208	192	2	-9
209	193	1	41
210	194	1	38
211	195	1	52
212	196	2	36
213	197	2	30
214	198	2	41
215	199	1	58
216	200	2	31
217	201	1	33
218	202	2	61
219	203	1	49
220	204	1	35
221	205	1	25
222	206	2	31
223	207	1	53
224	208	2	35
226	209	2	49
227	210	1	25
228	211	2	62
229	212	1	31
230	213	2	32
231	214	2	55
232	215	2	44
233	216	1	56
234	217	2	22
235	218	2	29
236	219	1	56
237	220	2	53
238	221	2	46
239	222	1	73
240	223	2	55
241	224	2	72
242	225	2	33
243	226	1	56
244	227	2	23
245	228	1	49
246	229	1	-9
247	230	2	-9
248	231	1	40
249	232	1	32
250	233	2	42
251	234	1	21
252	235	1	50
253	236	2	39
254	237	1	35
255	238	2	49
256	239	2	31
257	240	1	20
258	241	1	24
259	242	2	40
260	243	2	52
261	244	1	41
262	245	2	63
263	246	2	33
264	247	1	39
265	248	1	57
266	249	2	46
267	250	2	47
268	251	1	50
269	252	1	48
270	253	1	33
271	254	1	28
272	255	1	43
274	256	2	62
275	257	1	27
277	258	1	25
278	259	2	72
279	260	1	61
281	261	1	34
282	262	1	29
283	263	2	54
284	264	2	25
285	265	1	29
286	266	1	71
287	267	1	32
288	268	1	31
289	269	2	27
291	270	2	39
292	271	2	24
293	272	2	35
294	273	1	54
295	274	2	33
296	275	1	34
297	276	2	58
298	277	2	47
300	278	1	41
301	279	2	55
302	280	2	32
303	281	1	31
304	282	2	25
305	283	1	65
306	284	2	27
307	285	2	-9
308	286	2	34
309	287	1	41
310	288	2	26
311	289	2	31
313	290	1	30
314	291	1	20
315	292	1	46
316	293	2	53
317	294	1	51
318	295	1	20
319	296	1	24
320	297	2	58
321	298	2	34
322	299	1	44
323	300	1	59
324	301	1	42
325	302	1	43
326	303	2	51
328	304	1	61
329	305	1	32
330	306	1	72
331	307	1	-9
333	308	2	57
334	309	2	39
335	310	2	41
336	311	2	46
337	312	2	26
338	313	2	20
339	314	1	53
340	315	1	48
341	316	2	-9
342	317	2	41
343	318	2	63
344	319	1	32
345	320	2	52
346	321	1	62
347	322	1	47
348	323	2	31
349	324	2	22
350	325	1	29
351	326	1	59
352	327	2	-9
353	328	2	61
354	329	2	20
355	330	2	52
357	331	1	26
358	332	1	24
359	333	1	48
360	334	2	34
361	335	1	29
362	336	2	52
363	337	2	34
364	338	2	40
365	339	1	62
366	340	1	28
367	341	2	32
368	342	1	33
369	343	1	52
370	344	1	32
371	345	1	41
372	346	2	-9
373	347	2	30
374	348	1	48
375	349	1	32
377	350	1	52
378	351	2	25
380	352	2	51
381	353	2	59
382	354	1	20
383	355	2	22
384	356	1	55
385	357	1	20
386	358	1	60
387	359	1	-9
388	360	2	49
389	361	2	56
390	362	1	54
391	363	2	29
392	364	2	62
393	365	2	35
394	366	2	30
396	367	2	62
397	368	2	29
398	369	2	28
399	370	2	54
400	371	2	23
402	372	1	48
403	373	2	53
404	374	1	36
405	375	2	38
406	376	2	62
407	377	2	47
408	378	2	55
409	379	2	20
410	380	1	24
411	381	1	43
412	382	1	47
413	383	1	56
414	384	2	46
415	385	1	48
417	386	2	43
418	387	1	64
419	388	2	33
420	389	2	38
421	390	2	42
422	391	1	63
423	392	2	77
424	393	1	34
425	394	2	52
426	395	2	31
427	396	2	27
428	397	2	30
429	398	1	75
430	399	1	22
431	400	1	37
432	401	2	53
433	402	1	21
434	403	1	33
435	404	2	35
436	405	2	77
437	406	2	23
438	407	2	77
439	408	1	22
440	409	1	21
441	410	1	77
442	411	1	27
443	412	2	62
444	413	2	23
445	414	1	29
446	415	1	39
447	416	2	-9
448	417	2	32
449	418	2	76
450	419	1	22
451	420	1	48
452	421	1	37
453	422	1	32
455	423	2	53
457	424	2	25
458	425	2	75
459	426	2	75
460	427	2	46
461	428	1	40
462	429	2	73
463	430	1	30
464	431	1	60
465	432	1	44
466	433	1	60
467	434	2	61
468	435	2	-9
469	436	2	25
470	437	1	39
471	438	2	54
472	439	2	34
473	440	1	47
474	441	1	57
475	442	1	56
476	443	2	35
477	444	2	35
478	445	2	51
479	446	1	-9
480	447	2	57
481	448	2	62
482	449	2	64
483	450	1	43
484	451	2	60
485	452	2	36
486	453	1	42
487	454	1	22
488	455	2	-9
489	456	2	22
490	457	2	50
491	458	2	56
492	459	1	58
493	460	2	52
494	461	1	49
495	462	1	28
496	463	2	21
497	464	1	26
498	465	2	46
499	466	1	61
500	467	1	51
501	468	2	36
502	469	2	44
503	470	1	56
504	471	2	29
505	472	1	41
506	473	2	23
507	474	2	42
508	475	2	43
509	476	1	31
510	477	1	25
511	478	1	35
512	479	2	22
515	480	1	30
516	481	2	36
517	482	1	55
518	483	1	25
519	484	1	-9
520	485	1	40
521	486	1	61
522	487	2	53
523	488	2	22
524	489	1	40
525	490	1	37
526	491	2	57
527	492	2	47
528	493	2	56
529	494	1	27
530	495	1	47
531	496	1	38
532	497	1	33
535	498	1	66
536	499	2	40
537	500	2	40
538	501	2	49
539	502	2	-9
540	503	2	27
542	504	2	27
543	505	2	27
544	506	1	24
545	507	1	48
546	508	1	42
547	509	2	51
548	510	1	67
549	511	1	42
550	512	1	56
551	513	1	32
552	514	2	36
553	515	1	34
554	516	1	32
555	517	1	33
556	518	2	39
558	519	2	64
559	520	2	45
560	521	1	39
561	522	2	48
562	523	1	23
563	524	2	27
564	525	2	22
565	526	2	48
566	527	1	41
567	528	1	23
569	529	1	62
570	530	1	42
571	531	2	30
572	532	2	74
573	533	1	67
574	534	1	36
576	535	2	-9
577	536	1	48
578	537	2	21
579	538	2	21
580	539	1	40
581	540	1	-9
582	541	1	68
583	542	2	23
584	543	2	39
585	544	2	30
586	545	1	44
587	546	1	28
588	547	1	25
589	548	1	45
591	549	2	63
592	550	2	62
593	551	1	20
594	552	1	42
595	553	2	70
596	554	1	40
597	555	2	27
598	556	2	30
599	557	2	32
601	558	2	32
602	559	1	-9
603	560	1	48
604	561	2	53
605	562	2	41
606	563	1	51
607	564	1	30
608	565	1	73
609	566	1	29
610	567	2	61
611	568	2	-9
612	569	1	33
613	570	1	64
614	571	1	21
615	572	2	31
616	573	2	22
617	574	1	41
618	575	2	39
619	576	1	21
620	577	1	54
621	578	2	26
622	579	1	32
623	580	1	56
624	581	1	-9
625	582	1	30
626	583	2	48
627	584	2	63
628	585	1	61
629	586	1	48
630	587	2	55
631	588	1	22
632	589	1	58
633	590	2	62
634	591	1	48
635	592	2	76
636	593	2	22
637	594	2	24
638	595	2	41
639	596	2	50
640	597	1	60
642	598	2	27
643	599	2	33
644	600	1	32
645	601	1	28
646	602	2	47
647	603	1	60
648	604	2	24
649	605	2	51
650	606	1	57
651	607	2	75
652	608	2	44
653	609	2	62
654	610	1	20
655	611	1	46
656	612	2	22
657	613	2	35
658	614	1	25
659	615	2	20
660	616	1	31
661	617	1	49
662	618	1	57
663	619	1	28
664	620	2	41
665	621	2	44
666	622	1	69
667	623	1	-9
668	624	1	58
669	625	1	40
670	626	2	31
671	627	1	25
672	628	1	26
673	629	1	33
674	630	1	37
675	631	2	71
676	632	1	64
677	633	1	26
678	634	2	53
679	635	2	-9
680	636	1	39
681	637	2	23
682	638	1	73
683	639	1	-9
684	640	1	24
685	641	2	47
686	642	1	31
688	643	2	31
689	644	1	62
690	645	2	32
692	646	1	47
693	647	1	73
694	648	2	45
695	649	2	47
696	650	1	39
697	651	2	21
698	652	2	38
699	653	1	58
700	654	1	24
701	655	1	-9
702	656	1	21
703	657	1	30
704	658	1	20
705	659	2	33
706	660	2	60
707	661	2	48
708	662	1	68
709	663	1	39
710	664	2	58
711	665	1	54
712	666	1	60
713	667	2	32
714	668	2	42
716	669	1	39
717	670	2	48
718	671	1	35
719	672	2	42
720	673	2	34
721	674	1	57
722	675	2	62
723	676	1	33
724	677	2	43
725	678	1	35
726	679	2	24
727	680	1	25
728	681	1	54
729	682	2	27
731	683	2	26
732	684	2	54
734	685	2	54
735	686	2	73
736	687	1	34
737	688	1	-9
738	689	1	26
739	690	1	62
740	691	2	30
741	692	2	33
742	693	2	62
743	694	2	52
744	695	2	53
745	696	2	34
746	697	2	26
747	698	1	26
748	699	2	60
749	700	2	27
750	701	2	22
751	702	1	41
752	703	2	51
753	704	2	20
754	705	1	20
756	706	1	30
758	707	2	42
759	708	1	24
760	709	1	40
761	710	1	40
762	711	2	26
763	712	1	50
764	713	2	27
765	714	2	34
766	715	1	20
767	716	2	24
768	717	2	20
769	718	2	30
770	719	1	59
771	720	2	52
772	721	2	43
773	722	1	33
774	723	2	-9
775	724	1	25
776	725	2	21
777	726	2	36
778	727	2	33
779	728	2	-9
780	729	1	53
781	730	2	28
783	731	1	51
784	732	1	27
785	733	2	-9
786	734	2	57
787	735	2	54
788	736	2	59
789	737	2	48
790	738	1	32
791	739	1	60
792	740	1	23
793	741	1	50
794	742	2	30
795	743	2	24
796	744	1	63
797	745	1	32
798	746	1	69
799	747	1	51
800	748	2	26
801	749	1	57
802	750	2	41
803	751	2	52
804	752	2	43
805	753	1	28
806	754	1	60
808	755	1	21
809	756	1	24
810	757	2	32
812	758	1	33
813	759	2	50
814	760	2	65
815	761	2	21
816	762	1	27
817	763	2	20
818	764	1	28
819	765	1	42
820	766	1	-9
821	767	2	22
822	768	1	50
823	769	1	21
824	770	2	42
826	771	2	67
827	772	2	22
828	773	2	31
829	774	1	-9
830	775	2	53
831	776	1	38
832	777	1	42
833	778	1	30
834	779	2	39
835	780	2	23
836	781	1	26
837	782	2	63
838	783	2	41
839	784	2	51
840	785	1	60
841	786	1	56
842	787	2	69
843	788	2	63
844	789	1	21
845	790	1	41
847	791	1	50
848	792	2	31
849	793	1	65
850	794	2	52
851	795	2	57
852	796	2	24
853	797	2	51
854	798	2	37
855	799	2	21
856	800	1	-9
857	801	2	52
858	802	1	32
860	803	2	52
861	804	2	66
862	805	1	27
864	806	1	45
865	807	2	33
866	808	2	24
867	809	1	35
868	810	2	26
869	811	1	61
870	812	1	24
871	813	1	47
872	814	2	50
873	815	1	56
874	816	2	23
875	817	2	24
876	818	2	27
877	819	1	31
878	820	2	-9
879	821	2	38
880	822	2	53
881	823	2	29
882	824	2	54
883	825	1	54
884	826	2	65
885	827	2	36
886	828	2	52
887	829	2	33
888	830	1	70
889	831	1	31
890	832	1	48
891	833	2	69
892	834	2	24
893	835	2	42
894	836	1	49
895	837	2	39
896	838	2	67
897	839	2	32
898	840	1	27
899	841	1	51
900	842	1	58
901	843	1	40
902	844	2	46
903	845	1	64
905	846	1	38
906	847	1	57
907	848	2	44
908	849	2	53
909	850	2	64
910	851	2	40
911	852	1	20
913	853	1	55
914	854	2	24
915	855	2	22
916	856	1	50
917	857	1	66
918	858	2	20
919	859	2	52
920	860	1	31
921	861	2	38
922	862	2	56
923	863	1	32
924	864	2	20
926	865	1	54
927	866	1	38
928	867	2	54
929	868	2	61
930	869	2	41
931	870	2	52
932	871	1	20
933	872	1	22
934	873	2	21
935	874	1	49
936	875	1	44
937	876	1	20
938	877	1	31
939	878	1	22
940	879	2	43
941	880	2	53
942	881	1	38
943	882	1	41
944	883	1	76
945	884	2	42
946	885	1	50
947	886	2	60
948	887	1	47
949	888	1	44
950	889	1	61
951	890	2	66
952	891	1	-9
953	892	1	44
954	893	2	40
955	894	2	27
956	895	2	44
957	896	1	25
958	897	1	73
959	898	1	50
960	899	1	75
961	900	2	60
962	901	1	22
963	902	1	42
964	903	2	21
965	904	1	21
966	905	2	32
967	906	1	38
968	907	2	71
969	908	2	42
970	909	1	34
971	910	1	23
972	911	2	21
973	912	2	46
974	913	2	39
976	914	1	37
977	915	1	41
978	916	2	25
979	917	2	43
980	918	1	55
981	919	1	48
982	920	2	41
983	921	1	56
984	922	1	54
985	923	2	52
986	924	2	21
987	925	1	28
988	926	2	37
989	927	2	45
991	928	2	40
992	929	1	76
993	930	2	28
994	931	1	29
995	932	2	27
996	933	1	56
997	934	2	-9
998	935	2	29
1000	936	1	20
1001	937	2	60
1002	938	2	73
1004	939	2	54
1005	940	1	39
1006	941	1	40
1007	942	2	-9
1008	943	2	60
1009	944	1	54
1010	945	2	37
1011	946	1	67
1012	947	2	63
1013	948	1	20
1014	949	2	63
1015	950	2	51
1016	951	2	52
1017	952	2	47
1018	953	2	63
1019	954	2	65
1020	955	2	27
1021	956	1	40
1022	957	2	21
1023	958	2	53
1024	959	1	42
1025	960	2	59
1026	961	1	44
1027	962	1	35
1028	963	2	69
1029	964	2	54
1030	965	2	33
1031	966	1	63
1032	967	1	47
1033	968	2	30
1034	969	2	49
1035	970	2	32
1036	971	2	35
1037	972	2	66
1038	973	1	29
1039	974	2	62
1040	975	1	57
1041	976	1	35
1043	977	1	58
1044	978	2	46
1045	979	1	45
1046	980	1	40
1047	981	2	-9
1048	982	2	21
1049	983	2	62
1050	984	1	66
1051	985	1	31
1052	986	1	33
1053	987	2	32
1054	988	2	36
1055	989	2	50
1056	990	2	-9
1057	991	2	25
1058	992	1	54
1059	993	1	25
1060	994	2	-9
1061	995	2	61
1062	996	1	35
1063	997	2	59
1064	998	2	37
1065	999	1	46
1066	1000	1	-9
1067	1001	2	58
1068	1002	1	62
1069	1003	1	35
1070	1004	1	68
1071	1005	2	21
1072	1006	1	64
1073	1007	2	50
1074	1008	2	56
1075	1009	1	50
1076	1010	1	58
1077	1011	1	21
1078	1012	1	41
1079	1013	2	-9
1080	1014	2	45
1081	1015	1	33
1082	1016	2	29
1083	1017	2	40
1084	1018	2	-9
1085	1019	1	55
1087	1020	1	22
1088	1021	2	-9
1089	1022	2	58
1090	1023	2	22
1091	1024	2	59
1092	1025	2	30
1093	1026	2	69
1095	1027	2	51
1096	1028	2	30
1097	1029	1	22
1098	1030	1	35
1099	1031	1	22
1100	1032	2	46
1101	1033	2	20
1102	1034	2	-9
1103	1035	2	69
1104	1036	1	43
1105	1037	1	41
1106	1038	1	44
1107	1039	2	51
1108	1040	1	49
1109	1041	2	65
1110	1042	2	36
1111	1043	1	50
1112	1044	2	34
1113	1045	2	28
1114	1046	1	-9
1115	1047	2	39
1116	1048	1	32
1117	1049	2	62
1118	1050	1	21
1119	1051	2	22
1120	1052	2	23
1121	1053	2	31
1122	1054	1	46
1123	1055	1	24
1124	1056	2	61
1125	1057	1	53
1126	1058	2	47
1127	1059	2	-9
1128	1060	1	43
1129	1061	1	35
1130	1062	1	56
1131	1063	1	62
1132	1064	1	25
1134	1065	1	-9
1135	1066	1	37
1136	1067	2	41
1137	1068	1	27
1138	1069	2	74
1139	1070	1	35
1140	1071	2	33
1141	1072	1	61
1142	1073	2	37
1143	1074	2	54
1144	1075	1	26
1145	1076	1	62
1146	1077	2	56
1147	1078	1	48
1148	1079	2	41
1149	1080	1	25
1150	1081	1	53
1151	1082	1	33
1153	1083	2	40
1154	1084	2	38
1155	1085	1	53
1156	1086	2	76
1157	1087	2	22
1158	1088	2	-9
1159	1089	1	59
1160	1090	1	28
1161	1091	2	57
1162	1092	2	40
1163	1093	2	71
1164	1094	1	43
1165	1095	1	59
1166	1096	1	25
1168	1097	1	20
1169	1098	1	52
1170	1099	1	28
1171	1100	1	43
1172	1101	2	46
1173	1102	1	41
1174	1103	2	27
1175	1104	1	58
1176	1105	2	38
1177	1106	2	44
1178	1107	2	33
1179	1108	2	53
1180	1109	2	56
1181	1110	2	62
1182	1111	1	25
1183	1112	2	41
1184	1113	1	41
1185	1114	2	23
1186	1115	2	23
1187	1116	2	50
1188	1117	1	20
1189	1118	2	-9
1190	1119	1	46
1191	1120	1	45
1192	1121	1	26
1193	1122	2	55
1194	1123	2	33
1195	1124	1	37
1196	1125	2	51
1197	1126	1	31
1198	1127	1	30
1199	1128	2	25
1200	1129	2	20
1201	1130	1	38
1202	1131	2	31
1203	1132	1	34
1204	1133	2	74
1205	1134	2	50
1206	1135	2	50
1207	1136	1	34
1208	1137	1	70
1209	1138	1	46
1210	1139	1	28
1211	1140	1	38
1212	1141	2	23
1213	1142	1	58
1214	1143	1	59
1215	1144	1	54
1216	1145	1	58
1217	1146	2	28
1218	1147	1	57
1219	1148	2	23
1220	1149	1	56
1221	1150	1	39
1222	1151	1	55
1223	1152	2	23
1225	1153	1	21
1226	1154	2	-9
1227	1155	1	35
1228	1156	1	57
1229	1157	2	20
1230	1158	2	57
1231	1159	2	52
1232	1160	1	-9
1233	1161	1	74
1234	1162	1	75
1235	1163	1	24
1236	1164	1	52
1237	1165	2	29
1238	1166	2	64
1239	1167	2	45
1240	1168	1	44
1241	1169	1	50
1242	1170	1	47
1243	1171	1	52
1244	1172	2	51
1245	1173	2	52
1246	1174	2	31
1247	1175	1	24
1248	1176	2	56
1249	1177	1	60
1250	1178	1	20
1252	1179	1	37
1253	1180	1	36
1254	1181	1	21
1255	1182	1	48
1256	1183	2	31
1257	1184	2	39
1258	1185	1	46
1259	1186	2	41
1260	1187	2	68
1261	1188	2	20
1262	1189	2	45
1263	1190	1	42
1264	1191	1	-9
1265	1192	1	43
1266	1193	1	47
1267	1194	2	26
1268	1195	2	32
1272	1196	2	-9
1273	1197	2	68
1274	1198	2	34
1275	1199	1	21
1276	1200	2	62
1277	1201	1	27
1278	1202	1	22
1279	1203	2	35
1280	1204	2	55
1281	1205	2	37
1282	1206	1	-9
1283	1207	1	49
1284	1208	1	33
1285	1209	1	35
1286	1210	2	50
1287	1211	1	62
1288	1212	2	48
1290	1213	1	31
1291	1214	1	32
1292	1215	1	56
1293	1216	1	20
1294	1217	1	23
1295	1218	2	27
1297	1219	1	52
1298	1220	1	20
1299	1221	1	60
1300	1222	1	43
1301	1223	2	34
1302	1224	2	39
1303	1225	1	67
1304	1226	2	48
1305	1227	2	31
1306	1228	2	65
1307	1229	1	43
1308	1230	2	50
1309	1231	2	67
1310	1232	1	22
1311	1233	2	52
1312	1234	2	36
1313	1235	2	57
1314	1236	1	66
1315	1237	2	42
1316	1238	2	28
1318	1239	1	33
1319	1240	2	56
1320	1241	1	53
1322	1242	2	41
1323	1243	2	58
1324	1244	1	53
1325	1245	2	54
1326	1246	2	41
1327	1247	2	-9
1328	1248	1	58
1329	1249	2	22
1330	1250	1	42
1331	1251	1	21
1332	1252	1	53
1333	1253	2	66
1334	1254	1	32
1335	1255	2	56
1336	1256	1	70
1337	1257	2	45
1338	1258	1	41
1339	1259	2	44
1340	1260	2	52
1341	1261	1	65
1342	1262	2	42
1343	1263	1	59
1344	1264	1	41
1345	1265	2	67
1346	1266	1	53
1347	1267	1	54
1348	1268	1	59
1349	1269	1	-9
1350	1270	2	46
1351	1271	1	27
1352	1272	2	35
1353	1273	1	48
1354	1274	1	31
1355	1275	1	32
1356	1276	1	57
1357	1277	2	31
1358	1278	2	70
1359	1279	1	65
1361	1280	2	29
1362	1281	2	27
1363	1282	1	71
1365	1283	2	52
1366	1284	2	37
1368	1285	1	59
1369	1286	2	31
1370	1287	2	55
1371	1288	1	32
1372	1289	2	36
1373	1290	1	33
1374	1291	1	27
1375	1292	1	43
1376	1293	2	-9
1377	1294	1	42
1378	1295	2	-9
1379	1296	2	42
1380	1297	1	44
1381	1298	1	60
1382	1299	1	42
1383	1300	1	61
1384	1301	1	-9
1385	1302	2	54
1386	1303	1	48
1387	1304	1	25
1388	1305	2	44
1389	1306	1	28
1390	1307	1	58
1391	1308	1	-9
1392	1309	1	42
1393	1310	2	34
1394	1311	2	39
1395	1312	2	62
1396	1313	2	23
1397	1314	2	44
1399	1315	2	64
1400	1316	1	29
1401	1317	1	61
1404	1318	1	33
1405	1319	2	28
1406	1320	1	35
1407	1321	1	66
1408	1322	1	-9
1409	1323	2	-9
1410	1324	1	76
1411	1325	2	30
1412	1326	1	39
1413	1327	1	60
1414	1328	2	33
1415	1329	2	61
1416	1330	2	57
1417	1331	2	37
1418	1332	1	41
1419	1333	2	35
1420	1334	2	62
1421	1335	1	33
1422	1336	2	24
1423	1337	1	22
1424	1338	2	34
1425	1339	1	44
1426	1340	2	64
1427	1341	2	75
1428	1342	2	34
1429	1343	1	51
1430	1344	1	44
1431	1345	1	22
1432	1346	1	23
1433	1347	1	30
1434	1348	1	57
1435	1349	2	34
1436	1350	1	24
1437	1351	1	72
1438	1352	2	55
1439	1353	2	31
1440	1354	1	46
1441	1355	2	73
1442	1356	2	47
1443	1357	2	23
1444	1358	1	31
1445	1359	2	75
1446	1360	1	24
1448	1361	2	39
1449	1362	1	33
1450	1363	2	-9
1451	1364	1	45
1452	1365	2	23
1453	1366	2	74
1454	1367	2	26
1455	1368	1	24
1456	1369	2	56
1457	1370	2	24
1458	1371	2	24
1459	1372	2	28
1460	1373	1	38
1461	1374	1	56
1462	1375	2	36
1463	1376	2	20
1465	1377	1	61
1466	1378	2	43
1467	1379	1	31
1468	1380	2	34
1469	1381	1	43
1471	1382	1	42
1472	1383	2	60
1473	1384	2	29
1474	1385	1	26
1475	1386	1	64
1476	1387	2	57
1477	1388	2	37
1478	1389	1	35
1480	1390	2	36
1481	1391	1	20
1482	1392	2	64
1483	1393	2	44
1484	1394	1	46
1485	1395	2	38
1486	1396	1	24
1487	1397	1	25
1488	1398	1	58
1489	1399	1	72
1490	1400	2	59
1491	1401	2	36
1492	1402	2	62
1493	1403	2	39
1494	1404	1	60
1495	1405	1	21
1496	1406	2	34
1497	1407	2	63
1499	1408	1	63
1500	1409	1	28
1501	1410	1	38
1502	1411	1	59
1503	1412	2	51
1504	1413	2	38
1505	1414	1	41
1507	1415	1	57
1508	1416	2	73
1509	1417	1	25
1510	1418	1	65
1511	1419	2	64
1512	1420	2	34
1513	1421	1	36
1514	1422	1	34
1515	1423	1	31
1516	1424	2	42
1518	1425	1	38
1519	1426	1	62
1520	1427	2	51
1521	1428	2	22
1522	1429	1	25
1523	1430	1	33
1524	1431	2	22
1525	1432	1	29
1526	1433	1	22
1527	1434	2	38
1528	1435	2	51
1529	1436	2	49
1530	1437	2	31
1531	1438	2	44
1532	1439	1	68
1533	1440	2	61
1535	1441	2	29
1536	1442	2	76
1537	1443	2	38
1538	1444	2	22
1539	1445	2	52
1540	1446	1	51
1541	1447	1	32
1542	1448	1	38
1543	1449	2	28
1544	1450	1	66
1545	1451	1	36
1546	1452	2	31
1547	1453	1	39
1548	1454	2	30
1549	1455	1	64
1550	1456	1	26
1551	1457	2	62
1552	1458	1	-9
1553	1459	1	77
1554	1460	1	31
1555	1461	1	48
1556	1462	1	73
1557	1463	1	41
1558	1464	2	47
1559	1465	1	35
1560	1466	2	25
1561	1467	2	30
1562	1468	2	30
1563	1469	1	26
1564	1470	2	69
1565	1471	1	47
1566	1472	1	31
1567	1473	2	23
1568	1474	1	38
1569	1475	2	20
1570	1476	2	36
1571	1477	2	77
1572	1478	1	29
1573	1479	2	39
1574	1480	1	52
1575	1481	1	36
1576	1482	2	67
1577	1483	1	63
1578	1484	1	72
1579	1485	1	26
1580	1486	2	37
1581	1487	1	66
1582	1488	1	52
1583	1489	2	44
1584	1490	1	61
1585	1491	1	61
1586	1492	2	61
1587	1493	2	43
1588	1494	2	40
1589	1495	1	40
1590	1496	2	60
1591	1497	2	52
1592	1498	1	35
1593	1499	1	43
1594	1500	1	44
1595	1501	1	33
1596	1502	1	57
1597	1503	1	-9
1598	1504	2	-9
1599	1505	2	51
1600	1506	1	26
1602	1507	2	62
1603	1508	2	28
1604	1509	2	34
1605	1510	1	61
1606	1511	2	63
1607	1512	2	28
1608	1513	2	42
1609	1514	2	34
1610	1515	2	65
1611	1516	2	55
1612	1517	2	70
1613	1518	1	29
1614	1519	1	45
1615	1520	1	21
1617	1521	1	26
1618	1522	2	27
1619	1523	1	38
1620	1524	1	50
1621	1525	2	54
1622	1526	2	36
1623	1527	1	33
1624	1528	2	40
1625	1529	1	22
1626	1530	2	50
1627	1531	1	47
1628	1532	1	62
1629	1533	2	-9
1630	1534	1	61
1631	1535	2	61
1632	1536	1	51
1633	1537	1	33
1634	1538	2	42
1635	1539	1	-9
1636	1540	1	73
1637	1541	2	50
1638	1542	1	-9
1639	1543	2	30
1640	1544	2	27
1642	1545	2	31
1643	1546	1	34
1644	1547	2	31
1645	1548	2	27
1646	1549	1	42
1647	1550	2	21
1648	1551	2	43
1649	1552	2	39
1651	1553	2	-9
1652	1554	2	42
1653	1555	2	48
1654	1556	1	28
1655	1557	2	49
1656	1558	2	35
1657	1559	2	-9
1658	1560	2	60
1659	1561	2	64
1660	1562	2	56
1661	1563	2	57
1662	1564	1	28
1664	1565	1	28
1665	1566	1	31
1666	1567	1	28
1667	1568	2	57
1668	1569	1	32
1669	1570	1	29
1671	1571	1	20
1672	1572	1	26
1673	1573	1	61
1674	1574	1	32
1675	1575	1	47
1676	1576	2	38
1677	1577	1	46
1678	1578	2	41
1679	1579	1	72
1680	1580	2	34
1681	1581	1	64
1682	1582	2	34
